AWND,PRCP,TMAX,TMIN,date
2.1,0.0,27.8,11.7,2019-11-02
2.3,0.0,25.0,11.1,2019-11-03
2.3,0.0,23.9,11.7,2019-11-04
2.6,0.0,22.2,13.9,2019-11-05
2.2,0.0,20.0,14.4,2019-11-06
2.8,0.0,20.0,15.0,2019-11-07
2.1,0.0,25.6,13.3,2019-11-08
2.8,0.0,32.2,15.0,2019-11-09
2.7,0.0,22.2,15.6,2019-11-10
2.5,0.0,20.0,16.7,2019-11-11
2.8,0.0,20.6,15.6,2019-11-12
2.3,0.0,20.0,15.6,2019-11-13
2.8,0.0,20.6,13.9,2019-11-14
2.2,0.0,21.1,13.9,2019-11-15
2.4,0.0,22.2,12.8,2019-11-16
1.6,0.0,33.9,12.8,2019-11-17
3.0,0.0,33.9,16.7,2019-11-18
3.1,0.3,26.1,16.7,2019-11-19
5.2,8.9,17.2,11.7,2019-11-20
2.4,0.3,19.4,11.7,2019-11-21
3.0,0.0,21.7,12.8,2019-11-22
2.3,0.0,23.9,13.3,2019-11-23
3.0,0.0,25.6,11.7,2019-11-24
3.4,0.0,21.1,10.6,2019-11-25
3.5,0.0,19.4,12.8,2019-11-26
4.1,6.9,15.0,10.0,2019-11-27
4.2,19.8,11.7,7.8,2019-11-28
3.7,0.3,15.0,6.1,2019-11-29
2.7,0.0,16.1,6.7,2019-11-30
2.3,0.0,24.4,12.8,2020-11-01
1.9,0.0,20.6,14.4,2020-11-02
2.2,0.0,22.2,13.9,2020-11-03
2.2,0.0,22.2,13.3,2020-11-04
1.5,0.0,31.1,14.4,2020-11-05
4.8,0.0,23.3,14.4,2020-11-06
7.7,2.5,16.7,11.1,2020-11-07
8.7,0.0,16.1,8.9,2020-11-08
2.5,0.0,16.7,7.2,2020-11-09
2.7,0.0,17.8,7.8,2020-11-10
2.6,0.0,17.8,7.8,2020-11-11
2.8,0.0,19.4,8.3,2020-11-12
2.8,0.0,18.3,8.9,2020-11-13
2.6,0.0,18.3,10.0,2020-11-14
1.9,0.0,27.8,10.6,2020-11-15
2.8,0.0,32.8,14.4,2020-11-16
2.6,0.0,23.9,12.2,2020-11-17
3.8,0.0,17.8,12.2,2020-11-18
2.5,0.0,16.7,11.1,2020-11-19
1.6,0.0,19.4,10.0,2020-11-20
1.6,0.0,21.7,11.1,2020-11-21
2.0,0.0,20.0,8.9,2020-11-22
1.8,0.0,16.7,9.4,2020-11-23
2.5,0.0,19.4,11.1,2020-11-24
2.4,0.0,17.2,10.0,2020-11-25
2.0,0.0,18.3,10.0,2020-11-26
2.4,0.0,19.4,6.1,2020-11-27
2.0,0.0,22.2,8.9,2020-11-28
2.3,0.0,23.3,8.9,2020-11-29
2.1,0.0,24.4,9.4,2020-11-30
3.2,0.0,17.8,11.7,2021-11-01
2.6,0.0,18.3,13.3,2021-11-02
2.2,0.0,18.3,14.4,2021-11-03
2.4,0.0,17.8,13.9,2021-11-04
2.4,0.0,18.9,13.3,2021-11-05
2.6,0.0,16.7,13.3,2021-11-06
2.4,0.0,16.7,13.3,2021-11-07
2.7,0.0,20.0,13.3,2021-11-08
3.3,0.0,18.9,13.3,2021-11-09
2.3,0.0,21.7,15.0,2021-11-10
1.3,0.0,28.9,13.9,2021-11-11
1.7,0.0,32.8,16.7,2021-11-12
2.2,0.0,32.8,17.8,2021-11-13
2.8,0.0,30.0,15.0,2021-11-14
2.3,0.0,24.4,13.9,2021-11-15
2.4,0.0,17.2,13.9,2021-11-16
2.9,0.0,18.9,13.3,2021-11-17
2.5,0.0,17.8,11.7,2021-11-18
2.6,0.0,18.3,14.4,2021-11-19
1.7,0.0,16.7,13.9,2021-11-20
1.4,0.0,31.1,10.6,2021-11-21
2.9,0.0,29.4,13.9,2021-11-22
2.7,0.0,21.7,14.4,2021-11-23
2.9,0.0,21.7,12.2,2021-11-24
1.7,0.0,25.0,10.6,2021-11-25
2.0,0.0,24.4,10.6,2021-11-26
2.4,0.0,25.6,10.0,2021-11-27
2.4,0.0,21.7,10.0,2021-11-28
1.6,0.0,22.8,11.7,2021-11-29
1.7,0.0,16.1,11.7,2021-11-30
3.4,0.8,21.7,15.0,2022-11-01
6.1,3.3,19.4,14.4,2022-11-02
5.5,0.0,17.8,11.7,2022-11-03
2.8,0.0,19.4,10.0,2022-11-04
2.2,0.0,18.9,10.6,2022-11-05
2.3,0.0,19.4,11.7,2022-11-06
3.5,1.8,18.3,13.9,2022-11-07
5.3,36.6,19.4,12.2,2022-11-08
3.6,2.5,16.1,11.1,2022-11-09
2.2,0.0,20.0,7.8,2022-11-10
2.7,0.0,21.7,8.9,2022-11-11
2.9,0.0,20.0,9.4,2022-11-12
4.5,0.0,20.0,9.4,2022-11-13
2.2,0.0,20.6,8.9,2022-11-14
2.6,0.0,22.2,8.9,2022-11-15
2.3,0.0,23.3,8.9,2022-11-16
2.2,0.0,23.9,10.6,2022-11-17
2.3,0.0,20.6,8.3,2022-11-18
1.7,0.0,23.9,8.9,2022-11-19
2.6,0.0,25.0,10.6,2022-11-20
2.6,0.0,25.0,11.1,2022-11-21
2.4,0.0,23.3,10.6,2022-11-22
1.8,0.0,21.1,8.3,2022-11-23
2.4,0.0,25.6,8.3,2022-11-24
2.8,0.0,24.4,8.9,2022-11-25
2.1,0.0,21.7,8.3,2022-11-26
2.5,0.0,19.4,9.4,2022-11-27
3.1,0.0,17.2,12.2,2022-11-28
2.3,0.0,18.9,11.1,2022-11-29
2.5,0.0,18.3,9.4,2022-11-30
3.3,0.0,30.0,15.0,2023-11-01
2.6,0.0,26.7,12.8,2023-11-02
2.6,0.0,25.0,12.2,2023-11-03
2.6,0.0,21.1,11.1,2023-11-04
2.2,0.0,22.2,11.7,2023-11-05
2.7,0.0,21.7,14.4,2023-11-06
4.1,0.0,21.7,16.1,2023-11-07
2.6,0.0,25.0,12.2,2023-11-08
2.3,0.0,25.6,10.6,2023-11-09
2.3,0.0,23.3,10.0,2023-11-10
2.4,0.0,25.0,10.0,2023-11-11
2.7,0.0,28.9,12.8,2023-11-12
2.6,0.0,23.3,11.7,2023-11-13
2.0,0.0,25.0,10.6,2023-11-14
3.3,3.3,20.6,13.3,2023-11-15
2.9,0.0,22.8,14.4,2023-11-16
3.1,0.0,22.2,12.8,2023-11-17
3.0,0.0,21.1,15.6,2023-11-18
4.0,0.0,22.2,15.0,2023-11-19
2.3,0.0,22.8,10.0,2023-11-20
2.0,0.0,27.8,10.6,2023-11-21
2.9,0.0,28.3,12.8,2023-11-22
3.0,0.0,21.1,12.8,2023-11-23
3.0,0.0,21.7,13.9,2023-11-24
2.8,0.0,20.6,11.7,2023-11-25
2.2,0.0,22.2,8.3,2023-11-26
2.5,0.0,22.8,10.0,2023-11-27
2.6,0.0,21.7,11.7,2023-11-28
2.9,0.0,18.3,10.6,2023-11-29
2.8,0.0,18.3,10.6,2023-11-30
2.6,0.0,18.9,11.1,2024-11-01
2.5,0.3,18.9,11.7,2024-11-02
5.0,0.0,25.6,12.2,2024-11-03
2.3,0.0,23.3,12.8,2024-11-04
2.6,0.0,20.6,11.1,2024-11-05
2.0,0.0,25.6,12.8,2024-11-06
3.0,0.0,22.8,9.4,2024-11-07
2.8,0.0,22.8,8.9,2024-11-08
2.2,0.0,22.2,9.4,2024-11-09
2.2,0.0,21.7,10.0,2024-11-10
2.6,0.0,18.9,8.9,2024-11-11
3.6,0.0,21.7,13.3,2024-11-12
3.2,0.0,25.6,12.2,2024-11-13
3.3,0.0,21.1,10.6,2024-11-14
6.2,0.0,17.2,12.2,2024-11-15
3.3,0.0,20.0,8.9,2024-11-16
2.8,0.0,20.6,7.2,2024-11-17
3.0,0.0,18.3,8.3,2024-11-18
2.6,0.0,20.0,10.0,2024-11-19
2.0,0.0,23.3,10.6,2024-11-20
2.1,0.0,22.8,8.9,2024-11-21
2.4,0.0,21.1,8.3,2024-11-22
1.5,0.0,16.1,9.4,2024-11-23
3.4,0.0,16.1,11.7,2024-11-24
2.0,0.0,21.1,10.6,2024-11-25
2.2,0.0,18.9,13.3,2024-11-26
3.0,0.3,18.3,13.3,2024-11-27
2.3,0.0,23.9,12.8,2024-11-28
3.4,0.0,23.3,14.4,2024-11-29
2.5,0.0,26.1,12.2,2024-11-30
